ITHR,IDB,ICASN,TH_MEAN,TH_SD,NOISE_MEAN,NOISE_SD
20,120,2,382.2,9.86,10.96,10.545
40,120,2,487.1,14.58,11.55,2.76
60,120,2,567.3,21.67,13.68,4.194
80,120,2,643,19.95,11.96,2.722
100,120,2,732.4,28.76,14.43,4.966
120,120,2,772.4,18.55,14.12,4.21
,,,,,,
20,120,4,378.8,10.42,11.32,2.883
40,120,4,480.2,17.73,M,M
60,120,4,560.5,17.47,12.05,2.749
80,120,4,640.3,21.02,13.59,2.803
100,120,4,727.5,28.89,14.2,4.881
120,120,4,769.2,18.82,12.63,2.746
,,,,,,
20,120,6,372.5,9.692,12.32,2.466
40,120,6,475.1,13.87,11,2.637
60,120,6,561,18.54,M,M
80,120,6,649.3,26.17,13.41,4.405
100,120,6,704.8,22.29,12.5,2.74
120,120,6,771.4,19.12,14.08,3.119
,,,,,,
20,120,8,369.8,10.1,12.54,2.946
40,120,8,470.7,13.66,12.05,2.629
60,120,8,563.5,22.74,13.5,3.188
80,120,8,633.8,19.63,15.4,3.342
100,120,8,722,29.4,M,M
120,120,8,760.5,21.03,16.23,3.374
,,,,,,
20,120,10,366.4,11.54,13.83,3.072
40,120,10,463.9,13.98,13.78,2.814
60,120,10,558.7,22.66,15.5,4.091
80,120,10,639.1,25.91,16.32,3.99
100,120,10,690.1,22.76,16.93,3.168
120,120,10,757.9,22.29,17.19,2.905
,,,,,,
,,,,,,
,,,,,,
,,,,,,
20,100,2,375.6,12.05,10.8,3.234
40,100,2,481.7,17.52,11.19,3.8
60,100,2,576.5,22.4,11.86,4.124
80,100,2,659.6,29.45,13.61,4.291
100,100,2,728.7,30.05,13.48,5.324
120,100,2,772.9,19.52,13.13,4.782
,,,,,,
20,100,4,378.1,12.39,11.76,3.057
40,100,4,479.1,17.8,13,3.032
60,100,4,566.2,21.38,12.28,3.983
80,100,4,645.4,24.73,11.79,4.103
100,100,4,731.5,29.59,11.46,4.935
120,100,4,774.7,18.28,11.54,4.597
,,,,,,
20,100,6,375,12.6,10.77,3.173
40,100,6,474.6,16.92,11.68,3.425
60,100,6,564.6,21.75,11.72,3.748
80,100,6,645.6,24.88,12.01,4.07
100,100,6,730.8,29.08,11.63,4.776
120,100,6,772.8,19.42,11.7,4.374
,,,,,,
20,100,8,373.8,12.23,10.94,3.076
40,100,8,472.5,16.8,11.71,3.385
60,100,8,557,21.08,M,M
80,100,8,638,25.78,12.17,3.978
100,100,8,724.8,31.15,11.61,4.624
120,100,8,770.3,20.77,11.7,4.723
,,,,,,
20,100,10,369.3,13.77,11.28,3.054
40,100,10,470.7,18.77,11.86,11.86
60,100,10,554.4,21.51,11.74,3.741
80,100,10,633.8,25.04,12.03,4.12
100,100,10,719.5,30.3,11.47,4.793
120,100,10,769.4,21.2,11.78,4.706
,,,,,,
20,80,2,378.8,13.23,12.49,2.799
40,80,2,478.9,17.86,M,M
60,80,2,566.3,22.92,13.05,4.014
80,80,2,649.7,27.1,13.54,4.335
100,80,2,739.7,25.58,14.14,4.858
120,80,2,768.2,21.67,12.04,4.82
,,,,,,
20,80,4,372,12.23,11.03,3.093
40,80,4,475.3,17.46,10.84,3.48
60,80,4,561.1,21.56,12.38,3.994
80,80,4,639.3,25.38,11.58,4.182
100,80,4,721.5,30.13,11.83,4.969
120,80,4,768.2,21.99,12.42,4.876
,,,,,,
20,80,6,368.6,12.36,10.86,3.087
40,80,6,473.1,18.73,11.2,3.307
60,80,6,559.3,21.39,11.51,3.81
80,80,6,639.6,25.01,11.97,4.04
100,80,6,721.9,30.71,12.09,4.671
120,80,6,767.2,22.44,11.89,4.837
,,,,,,
20,80,8,367.3,13.03,11.8,2.83
40,80,8,465.3,17.18,11.17,3.408
60,80,8,551.7,21.59,11.4,3.7
80,80,8,632,26.28,12.08,3.967
100,80,8,711.7,30.48,12,4.919
120,80,8,766.6,22.9,12.22,4.594
,,,,,,
20,80,10,361.5,12.93,11.27,2.974
40,80,10,463.3,16.73,11.09,3.353
60,80,10,552.1,22.62,11.87,3.564
80,80,10,628.6,27.19,13.25,3.791
100,80,10,711.4,30.11,12.26,4.834
120,80,10,762.7,24.64,12.18,4.814
,,,,,,
20,60,2,374.9,12.2,11.19,3.045
40,60,2,473.6,18.4,12.48,3.408
60,60,2,557.7,22.53,11.73,4.111
80,60,2,639,25.57,12.24,4.493
100,60,2,736.2,31.79,12.38,4.794
120,60,2,777.2,16.65,11.89,4.582
,,,,,,
20,60,4,368.7,13.29,M,M
40,60,4,464.2,17.1,12.48,3.41
60,60,4,549,21.35,12.23,3.887
80,60,4,626.6,25.45,12.59,4.288
100,60,4,706.9,30.42,11.77,4.784
120,60,4,761.4,25.02,,
,,,,,,
20,60,6,362.2,12.48,11.02,3.037
40,60,6,464.1,17.6,11.66,3.44
60,60,6,547.3,21.27,11.55,3.581
80,60,6,629.4,27.19,11.88,4.371
100,60,6,706.2,30.97,11.91,4.467
120,60,6,761,25.25,12.13,4.671
,,,,,,
20,60,8,359.7,12.07,M,M
40,60,8,459.5,18.81,11.65,3.307
60,60,8,536.2,21.78,11.89,3.554
80,60,8,625.4,27.48,11.74,4.44
100,60,8,696,30.78,,
120,60,8,755.2,27.51,12.08,4.726
,,,,,,
20,60,10,357.2,14.86,M,M
40,60,10,454.3,18.05,11.49,3.337
60,60,10,536.8,21.43,11.72,3.663
80,60,10,625.3,29.49,11.72,4.16
100,60,10,693.8,30.7,12.31,4.791
120,60,10,753.1,28.07,12.13,4.964
